id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass
M_FAL_A4,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,221.17,0.49,0.00118
M_FRB_A1,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,R,restored,dry,grazing,156.38,0.28,0.00235
M_FRB_A2,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,V11,restored,dry,grazing,193.14,0.28,0.0014
M_FRB_A3,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,165.22,0.27,0.00272
M_FRB_A4,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,R,restored,dry,grazing,192.22,0.34,0.00244
M_GRO_A1,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,265.26,0.65,0.00169
M_GRO_A2,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,264.81,0.72,0.00212
M_GRO_A3,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R,restored,fresh,both,271.65,0.82,0.00219
M_GRO_A4,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R,restored,fresh,both,270.95,1,0.00264
M_HAH_A1,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,159.63,0.22,6e-4
M_HAH_A2,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,193.88,0.16,8.6e-4
M_HAH_A3,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R,positive,dry,none,178.95,0.11,0.00155
M_HAH_A4,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,189.64,0.1,2.5e-4
M_HAR_A1,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,203.45,0.53,0.00338
M_HAR_A2,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,216.28,0.56,0.00333
M_HAR_A3,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,217.39,0.63,0.00297
M_HAR_A4,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,239.88,0.68,0.0029
M_HIR_A1,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,204.59,0.35,0.00118
M_HIR_A2,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,?,restored,dry,grazing,207.06,0.4,0.00144
M_HIR_A3,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,224.03,0.42,0.00166
M_HIR_A4,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,210.04,0.41,0.00125
M_HNB_A1,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,180.11,0.35,0.00154
M_HNB_A2,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,183.81,0.35,0.00254
M_HNB_A3,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,189.61,0.21,0.00196
M_HNB_A4,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,203.68,0.32,0.00173
M_HOH_A1,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,V,restored,moist,mowing,176.05,0.54,0.00202
M_HOH_A2,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,R22,restored,moist,mowing,200.88,0.4,0.00233
M_HOH_A3,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,R,restored,moist,mowing,232.87,0.49,0.00102
M_HOH_A4,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,R,restored,moist,mowing,234.91,0.47,4.5e-4
M_ILB_A1,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,236.13,0.37,0.0012
M_ILB_A2,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,214.74,0.4,0.00215
M_ILB_A3,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,248.12,0.34,7.3e-4
M_ILB_A4,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,237,0.31,9.6e-4
M_JEP_A1,M_JEP,12.02312125,52.4791434,centre,654,Central European mixed forests,2023,R,positive,fresh,mowing,169.86,0.48,0.00204
M_JEP_A2,M_JEP,12.02312125,52.4791434,centre,654,Central European mixed forests,2023,R,positive,fresh,mowing,162.94,0.48,0.00273
M_JEP_A3,M_JEP,12.02312125,52.4791434,centre,654,Central European mixed forests,2023,R,positive,fresh,mowing,208.3,0.43,0.00165
M_JEP_A4,M_JEP,12.02312125,52.4791434,centre,654,Central European mixed forests,2023,R,positive,fresh,mowing,158.94,0.48,0.00266
M_JER_A1,M_JER,12.01639122,52.48309646,centre,654,Central European mixed forests,2023,V37,restored,fresh,mowing,234.74,0.36,5.8e-4
M_JER_A2,M_JER,12.01639122,52.48309646,centre,654,Central European mixed forests,2023,V32,restored,fresh,mowing,237.63,0.32,0.00148
M_JER_A3,M_JER,12.01639122,52.48309646,centre,654,Central European mixed forests,2023,V32,restored,fresh,mowing,287.55,0.22,6.7e-4
M_JER_A4,M_JER,12.01639122,52.48309646,centre,654,Central European mixed forests,2023,R1P,restored,fresh,mowing,202.26,0.26,4.2e-4
M_KAP_A1,M_KAP,12.23992028,51.87819202,centre,654,Central European mixed forests,2023,R,negative,fresh,mowing,252.64,0.58,0.00716
M_KAP_A2,M_KAP,12.23992028,51.87819202,centre,654,Central European mixed forests,2023,R,negative,fresh,mowing,239.45,0.63,0.00447
M_KAP_A3,M_KAP,12.23992028,51.87819202,centre,654,Central European mixed forests,2023,R,negative,fresh,mowing,235.36,0.73,0.0036
M_KAP_A4,M_KAP,12.23992028,51.87819202,centre,654,Central European mixed forests,2023,R,negative,fresh,mowing,232.34,0.63,0.00321
M_KIF_A1,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,236.73,0.55,0.00163
M_KIF_A2,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,176.28,0.43,0.00357
M_KIF_A3,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,165.73,0.3,0.00632
M_KIF_A4,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,167.96,0.33,0.00467
M_KOL_A1,M_KOL,11.82447632,51.50647081,centre,654,Central European mixed forests,2023,R,restored,dry,mowing,205.44,0.39,0.00142
M_KOL_A2,M_KOL,11.82447632,51.50647081,centre,654,Central European mixed forests,2023,R,restored,dry,mowing,210.59,0.49,0.00109
M_KOL_A3,M_KOL,11.82447632,51.50647081,centre,654,Central European mixed forests,2023,R,restored,dry,mowing,201.88,0.44,0.00103
