id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.oek.f,cwm.abu.oek.f.site,cwm.abu.oek.l,cwm.abu.oek.l.site,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass
M_KIF_A2,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,3.25,3.3125,7.59,7.5,176.28,0.43,0.00357,26.72,7.16,3.32832
M_KIF_A3,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,3.25,3.3125,7.67,7.5,165.73,0.3,0.00632,26.72,16.8,10.88846
M_KIF_A4,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,3.16,3.3125,7.63,7.5,167.96,0.33,0.00467,26.72,7.77,4.13865
M_KOT_A1,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,4.44,4.3325,7.28,7.4175,235.57,0.51,0.0016,7.72,11.08,10.56214
M_KOT_A2,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,4.18,4.3325,7.52,7.4175,226,0.5,0.00247,7.04,22.32,11.61255
M_KOT_A3,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,4.58,4.3325,7.28,7.4175,232.77,0.48,0.00212,11.18,22.32,15.8461
M_KOT_A4,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,4.13,4.3325,7.59,7.4175,231.43,0.51,0.00276,12,10.46,15.8461
M_KUH_A1,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.06,3.0575,7.92,7.825,171.73,0.4,0.00311,28.25,46.77,27.2045
M_KUH_A2,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.06,3.0575,7.93,7.825,174.32,0.45,0.00321,12.12,16.8,10.88846
M_KUH_A3,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.27,3.0575,7.5,7.825,184.57,0.21,0.00124,28.25,56.23,19.71145
M_KUH_A4,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,2.84,3.0575,7.95,7.825,168.75,0.36,0.00252,27.73,68.81,19.71145
M_LOB_A2,M_LOB,11.9262047,51.63375412,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.12,4.1525,7.36,7.19,237.8,0.59,0.00444,25.4,37.25,18.19943
M_NIS_A1,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,3.41,3.5325,7.21,7.0225,218.23,0.31,6.8e-4,51.76,81.34,20.17344
M_NIS_A2,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,3.65,3.5325,7.27,7.0225,253.06,0.64,0.00137,36.25,77.51,20.17344
M_NIS_A3,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,3.66,3.5325,6.55,7.0225,252.89,0.46,4.8e-4,36.25,77.51,20.17344
M_NIS_A4,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,3.41,3.5325,7.06,7.0225,229.18,0.37,6.2e-4,72.25,98.26,20.17344
M_SKF_A1,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,4.64,4.0925,7.23,7.3675,229.78,0.55,0.00158,19.24,21.12,26.72425
M_SKF_A2,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,4.4,4.0925,7.28,7.3675,200.87,0.49,6.9e-4,8.41,21.12,7.73759
