id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.oek.f,cwm.abu.oek.f.site,cwm.abu.oek.l,cwm.abu.oek.l.site,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass,fdis.abu.oek.f,fdis.abu.oek.l,fdis.abu.sla,fdis.abu.height,fdis.abu.seedmass,feve.abu.sla,feve.abu.height,feve.abu.seedmass
M_BUH_A3,M_BUH,10.60948255,52.00891,centre,654,Central European mixed forests,2022,R,restored,fresh,both,4.42,4.465,7.27,7.2,221.3,0.55,0.00101,9.39,13.76,13.75422,0.32,0.43,1.56,1.46,1.40729,1.64,1.5,1.66294
M_BUH_A4,M_BUH,10.60948255,52.00891,centre,654,Central European mixed forests,2022,R,restored,fresh,both,4.3,4.465,7.23,7.2,215.29,0.52,7.9e-4,12.15,18.11,10.1279,0.27,0.4,1.52,1.36,1.45116,1.41,1.59,1.73408
M_CAL_A1,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.21,4.2825,7.64,7.5825,226.02,0.68,9.8e-4,8.41,11.08,10.56214,0.17,0.52,1.99,2,1.68208,1.46,1.78,1.66865
M_CAL_A2,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.31,4.2825,7.43,7.5825,216.92,0.5,7.3e-4,7.05,11.08,10.56214,0.22,0.68,1.75,1.85,1.52521,1.43,1.67,1.60496
M_CAL_A3,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.19,4.2825,7.59,7.5825,197.15,0.58,3.7e-4,7.25,11.08,4.17379,0.17,0.48,1.57,1.59,1.62772,1.56,1.38,1.67594
M_CAL_A4,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R,restored,fresh,mowing,4.42,4.2825,7.67,7.5825,217.16,0.58,6.5e-4,8.18,11.08,10.02978,0.25,0.61,1.67,1.75,1.55834,1.64,1.46,1.18636
M_CBE_A1,M_CBE,11.81622602,51.91392502,centre,654,Central European mixed forests,2022,R,negative,fresh,mowing,3.97,4.8725,7.28,6.9475,253.59,0.37,0.00093000000000000005,32.16,92.46,12.94973,0.68,0.58,1.46,3.69,2.21091,1.38,1.72,1.40127
M_CBE_A2,M_CBE,11.81622602,51.91392502,centre,654,Central European mixed forests,2022,R,negative,fresh,mowing,5.02,4.8725,6.74,6.9475,232.75,0.61,0.00376,32.16,22.74,11.6379,0.05,0.46,1.19,1.78,1.23082,1.24,1.66,1.4441
M_CBE_A3,M_CBE,11.81622602,51.91392502,centre,654,Central European mixed forests,2022,R,negative,fresh,mowing,5.05,4.8725,6.8,6.9475,247.72,0.47,0.00333,5.24,92.46,12.94973,0.07,0.67,1.5,2.31,1.38992,1.54,1.25,1.27718
M_CBE_A4,M_CBE,11.81622602,51.91392502,centre,654,Central European mixed forests,2022,R,negative,fresh,mowing,5.45,4.8725,6.97,6.9475,253.97,0.71,0.00236,13.33,92.46,12.94973,0.26,0.37,1.37,1.54,1.30907,1.4,1.11,1.414
