id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,hydrology,mngm.type,rest.age,fdis.abu.oek.f,cwm.abu.oek.f,fdis.pres.oek.f,cwm.pres.oek.f,cwm.abu.oek.f.site,cwm.pres.oek.f.site,fdis.abu.oek.l,cwm.abu.oek.l,fdis.pres.oek.l,cwm.pres.oek.l,cwm.abu.oek.l.site,cwm.pres.oek.l.site,fdis.abu.sla,fric.abu.sla,feve.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,feve.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,feve.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,feve.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,feve.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,feve.pres.seedmass,cwm.pres.seedmass
M_BEN_A3,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,arable land,2022,restored,fresh,mowing,2,0.13,5.01,0.35,4.4,5.035,4.415,0.44,7.32,0.52,7.57,7.4825,7.5375,1.71,6.11,1.77,212.45,1.6,6.11,1.87,223.3,1.91,13.76,1.76,0.5,1.66,13.76,1.71,0.53,1.53475,10.02978,1.61512,0.00169,1.48359,10.02978,1.67459,0.00182
M_BEN_A4,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,R,R,arable land,2022,restored,fresh,mowing,2,0.28,5.15,0.36,4.44,5.035,4.415,0.49,7.56,0.51,7.53,7.4825,7.5375,1.51,6.11,1.84,225.81,1.72,6.11,1.97,202.57,1.55,18.69,1.66,0.56,1.87,18.69,1.81,0.5,1.41606,10.02978,1.47882,0.00148,1.57021,10.02978,1.6806,0.00164
M_BIR_A1,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R22,R,NA,2023,positive,fresh,mowing,NA,0.43,4.71,0.49,4.74,4.8,4.73,0.66,7.18,0.72,7.15,7.0775,7.1275,1.57,36.91,1.53,213.88,1.91,36.91,1.76,228.84,1.59,22.74,1.61,0.59,2,22.74,1.87,0.42,1.54342,64.30386,1.61145,0.00168,2.01158,64.30386,1.6841,0.00126
M_BIR_A2,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R1A,R,NA,2023,positive,fresh,mowing,NA,0.58,4.16,0.47,4.39,4.8,4.73,0.4,7.15,0.64,7.33,7.0775,7.1275,1.56,60.93,1.18,195.38,1.86,60.93,1.7,214.21,3.82,77.51,1.55,0.28,2.12,77.51,1.73,0.38,1.65791,10.02978,1.75786,0.00128,1.61037,10.02978,1.84828,0.0014
M_BIR_A3,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R,R,NA,2023,positive,fresh,mowing,NA,0.34,5.5,0.43,5.06,4.8,4.73,0.41,6.95,0.6,6.83,7.0775,7.1275,1.76,30.77,1.78,247.28,1.76,30.77,1.68,229.61,1.69,49.58,1.25,0.54,1.91,49.58,1.76,0.45,1.69537,11.77778,1.26274,0.00163,1.71808,11.77778,1.97865,0.00188
M_BIR_A4,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R,R,NA,2023,positive,fresh,mowing,NA,0.31,4.83,0.5,4.73,4.8,4.73,0.52,7.03,0.74,7.2,7.0775,7.1275,1.63,11.04,1.68,219.05,1.86,11.04,1.89,226.23,1.89,12.87,1.6,0.63,1.81,12.87,1.98,0.44,1.44303,64.30386,1.39294,0.00254,2.07364,64.30386,1.75888,0.00125
M_BOD_A1,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R,R22,NA,2023,negative,fresh,both,NA,0.28,4.74,0.48,4.33,4.7775,4.3525,0.81,6.92,0.68,6.93,7.2,7.085,1.34,4.78,1.71,238.7,1.43,4.78,1.99,243.18,1.98,37.25,1.82,0.58,2.44,37.25,1.83,0.39,1.94899,17.2144,1.62853,0.00574,1.84345,17.2144,1.75219,0.00126
M_BOD_A2,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R,R22,NA,2023,negative,fresh,both,NA,0.48,4.38,0.49,4.2,4.7775,4.3525,0.74,7.44,0.69,7,7.2,7.085,1.44,8.44,1.44,256.04,1.61,8.44,1.89,233.04,2.55,37.25,1.92,0.64,2.35,37.25,1.87,0.33,1.5604,17.2144,1.76877,0.00297,1.99262,17.2144,1.75985,0.00145
M_BOD_A3,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R22,R22,NA,2023,negative,fresh,both,NA,0.29,5.65,0.52,4.38,4.7775,4.3525,0.89,7,0.67,7.1,7.2,7.085,1.22,4.78,1.45,260.6,1.49,4.78,2.08,246.06,1.85,37.25,1.7,0.72,2.77,37.25,1.86,0.31,1.50853,17.2144,1.62121,0.00161,1.95273,17.2144,1.96058,0.00103
M_BOD_A4,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R22,R22,NA,2023,negative,fresh,both,NA,0.33,4.34,0.44,4.5,4.7775,4.3525,0.54,7.44,0.77,7.31,7.2,7.085,1.43,6.79,1.67,255.71,1.64,6.79,2.07,231.1,3.02,37.25,1.52,0.49,2.39,37.25,2.07,0.37,1.60405,8.15184,1.49303,0.0018,1.72973,8.15184,1.88433,9.50E-04
M_BRA_A1,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,arable land,2023,restored,dry,both,10,0.22,4.72,0.27,4.07,4.28,3.965,0.66,6.84,0.54,7.25,7.19,7.27,2.39,21.09,1.38,292.11,1.77,21.09,1.9,225.35,1.24,22.74,1.27,0.44,1.77,22.74,1.72,0.42,1.61537,17.2144,1.70357,0.00982,1.95284,17.2144,2.08959,0.00194
