id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,fertilized,hydrology,mngm.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_BOD_A2,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R,R22,NA,2023,negative,0,fresh,both,NA,1.44,8.56,256.52,1.6,8.56,236.62,2.55,37.06,0.64,2.35,37.06,0.33,1.55811,17.05323,0.00297,1.98809,17.05323,0.00145
M_BOD_A3,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R22,R22,NA,2023,negative,0,fresh,both,NA,1.22,4.83,261.06,1.42,4.83,252.35,1.85,37.06,0.72,2.77,37.06,0.31,1.50648,17.05323,0.00161,1.94842,17.05323,0.00103
M_BOD_A4,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R22,R22,NA,2023,negative,0,fresh,both,NA,1.43,6.88,256.1,1.63,6.88,234.04,3.01,37.06,0.49,2.38,37.06,0.37,1.60155,8.0955,0.0018,1.7266,8.0955,9.50E-04
M_BRA_A1,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,arable land,2023,restored,0,dry,both,10,2.4,21.54,292.11,1.78,21.54,225.35,1.24,22.63,0.44,1.77,22.63,0.42,1.61282,17.05323,0.00982,1.94853,17.05323,0.00194
M_BRA_A2,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,arable land,2023,restored,0,dry,both,10,1.76,54.51,237.47,2.03,54.51,211.96,1.35,12.14,0.38,1.8,12.14,0.37,1.78901,19.71878,0.0045,2.00276,19.71878,0.00106
M_BRA_A3,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,arable land,2023,restored,0,dry,both,10,1.95,12.98,190.47,2.04,12.98,226.63,1.58,71.68,0.3,1.89,71.68,0.3,1.94221,18.08175,6.90E-04,1.93757,18.08175,7.70E-04
M_BRA_A4,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R1A,R1A,arable land,2023,restored,0,dry,both,10,3.07,54.51,246.78,2.12,54.51,207.58,1.33,9.75,0.41,1.75,9.75,0.38,2.15512,16.18942,0.00505,1.90828,16.18942,0.00172
M_BUH_A1,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R22,R,arable land,2022,restored,0,fresh,both,3,1.48,10.47,235,1.62,10.47,231.56,1.46,13.71,0.57,1.53,13.71,0.49,1.31265,8.89611,9.40E-04,1.49541,8.89611,0.00113
M_BUH_A2,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,arable land,2022,restored,0,fresh,both,3,1.56,37.17,219.24,1.65,37.17,236.31,1.37,13.71,0.49,1.57,13.71,0.44,1.32207,10.05068,8.90E-04,1.70924,10.05068,0.00106
M_BUH_A3,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,arable land,2022,restored,0,fresh,both,3,1.56,9.54,221.3,1.61,9.54,227.1,1.46,13.71,0.55,1.56,13.71,0.48,1.4057,13.63555,0.00101,1.68686,13.63555,0.00152
M_BUH_A4,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,arable land,2022,restored,0,fresh,both,3,1.53,12.36,215.29,1.63,12.36,231.18,1.36,18.04,0.52,1.66,18.04,0.46,1.44937,10.05068,7.90E-04,1.67774,10.05068,0.00115
M_CAL_A1,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,arable land,2022,restored,0,fresh,mowing,6,2,8.53,226.02,1.75,8.53,219.83,2,11.04,0.68,1.71,11.04,0.53,1.67919,10.48016,9.80E-04,1.55837,10.48016,8.90E-04
M_CAL_A2,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,arable land,2022,restored,0,fresh,mowing,6,1.76,7.15,216.92,1.68,7.15,228.36,1.85,11.04,0.5,1.65,11.04,0.48,1.52308,10.48016,7.30E-04,1.56989,10.48016,9.90E-04
M_CAL_A3,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,arable land,2022,restored,0,fresh,mowing,6,1.58,7.35,197.15,1.8,7.35,218.52,1.59,11.04,0.58,1.66,11.04,0.52,1.6251,4.15412,3.70E-04,1.40901,4.15412,7.90E-04
M_CAL_A4,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R,R22,arable land,2022,restored,0,fresh,mowing,6,1.68,8.3,217.16,1.79,8.3,226.07,1.74,11.04,0.58,1.81,11.04,0.54,1.55605,9.95363,6.50E-04,1.49914,9.95363,0.0011
