id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,start.rest,rest.meth,obs.year,site.type,hydrology,mngm.type,lui,c.n.B10,c.n,ph.value,clay.perc.B10,clay.perc.B30,silt.perc.B10,silt.perc.B30,sand.perc.B10,sand.perc.B30,clay.perc,silt.perc,sand.perc,rest.meth.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_CAL_A2,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,2016,res,2022,restored,fresh,mowing,1.380530973,15.41871921,14.85961867,7.22,16.5,15,78.5,7.5,13.5,77.5,15.75,43,45.5,res,6,1.71,6.51,216.92,1.64,6.51,228.36,1.74,8.64,0.5,1.57,8.64,0.48,1.59679,13.64502,7.30E-04,1.65146,13.64502,9.90E-04
M_CAL_A3,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,2016,res,2022,restored,fresh,mowing,1.380530973,15.41871921,14.85961867,7.22,16.5,15,78.5,7.5,13.5,77.5,15.75,43,45.5,res,6,1.54,6.68,197.15,1.75,6.68,218.52,1.51,8.64,0.58,1.58,8.64,0.52,1.71619,4.87468,3.70E-04,1.46433,4.87468,7.90E-04
M_CAL_A4,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R,R22,2016,res,2022,restored,fresh,mowing,1.380530973,15.41871921,14.85961867,7.22,16.5,15,78.5,7.5,13.5,77.5,15.75,43,45.5,res,6,1.64,7.5,217.16,1.74,7.5,226.07,1.65,36.25,0.58,1.91,36.25,0.58,1.63528,12.88467,6.50E-04,1.56889,12.88467,0.0011
M_CBE_A1,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,R,R,NA,NA,2022,negative,fresh,mowing,1.380530973,19.44444444,20.56380638,7.15,11,26,25,32.5,64,41.5,18.5,28.75,52.75,negative,NA,1.42,27.86,247.07,1.65,27.86,256.98,2.53,25.62,0.5,2.29,25.62,0.38,1.94077,10.23897,0.00145,1.89076,10.23897,9.50E-04
M_CBE_A2,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,R,R,NA,NA,2022,negative,fresh,mowing,1.380530973,19.44444444,20.56380638,7.15,11,26,25,32.5,64,41.5,18.5,28.75,52.75,negative,NA,1.18,27.86,232.75,1.72,27.86,277.57,1.68,16.46,0.61,2.16,16.46,0.34,1.25891,15.19404,0.00376,1.88394,15.19404,0.00121
M_CBE_A3,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,R,R,NA,NA,2022,negative,fresh,mowing,1.380530973,19.44444444,20.56380638,7.15,11,26,25,32.5,64,41.5,18.5,28.75,52.75,negative,NA,1.48,4.89,247.43,1.43,4.89,271.94,2.1,16.46,0.48,2.36,16.46,0.35,1.42521,10.23897,0.00342,1.68757,10.23897,0.00118
M_CBE_A4,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,R,R,NA,NA,2022,negative,fresh,mowing,1.380530973,19.44444444,20.56380638,7.15,11,26,25,32.5,64,41.5,18.5,28.75,52.75,negative,NA,1.35,11.98,253.93,1.7,11.98,290.13,1.46,16.46,0.72,2.5,16.46,0.42,1.34405,11.86416,0.00237,1.79605,11.86416,0.001
M_DOB_A1,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,R,R,2016,res,2022,restored,dry,mowing,0.690265487,20.6779661,21.26921561,7.41,15,16.5,7.5,78.5,77.5,13.5,15.75,43,45.5,res,6,1.49,9.18,214.39,1.57,9.18,216.94,1.45,15.4,0.47,1.61,15.4,0.42,1.65908,12.88467,6.40E-04,1.65476,12.88467,0.00147
M_DOB_A2,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,R1A,R,2016,res,2022,restored,dry,mowing,0.690265487,20.6779661,21.26921561,7.41,15,16.5,7.5,78.5,77.5,13.5,15.75,43,45.5,res,6,1.55,9.51,225.31,1.59,9.51,218.84,1.52,19.59,0.46,1.63,19.59,0.42,1.66891,18.28595,8.20E-04,1.79999,18.28595,0.00117
M_DOB_A3,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,R,R,2016,res,2022,restored,dry,mowing,0.690265487,20.6779661,21.26921561,7.41,15,16.5,7.5,78.5,77.5,13.5,15.75,43,45.5,res,6,1.55,19.77,200.65,1.78,19.77,205.1,1.5,12.86,0.45,1.55,12.86,0.42,1.60885,18.28595,8.50E-04,1.73335,18.28595,0.00156
